edge_a,edge_b,mid_x,mid_y,mid_z,length
178708,178709,-0.494325,0.343906,1.566057,0.01147
178709,198521,-0.494325,0.343906,1.566057,0.01147
95683,95684,-0.494368,0.343879,1.566089,0.011635
95683,127910,-0.494368,0.343879,1.566089,0.011635
69733,69734,-0.498017,0.345418,1.565568,0.011333
69733,121604,-0.498017,0.345418,1.565568,0.011333
163470,163471,-0.49806,0.345391,1.5656,0.011495
163471,193670,-0.49806,0.345391,1.5656,0.011495
178707,178708,-0.494768,0.333518,1.560842,0.011804
198520,198521,-0.494768,0.333518,1.560842,0.011804
95684,95685,-0.49488,0.333342,1.560883,0.011899
127910,127911,-0.49488,0.333342,1.560883,0.011899
197937,198371,-0.494892,0.32867,1.558079,0.0004
197938,198372,-0.494892,0.32867,1.558079,0.0004
197500,197937,-0.494953,0.329034,1.557926,0.000412
197501,197938,-0.494953,0.329034,1.557926,0.000412
198371,198519,-0.494973,0.328335,1.558242,0.000377
198372,198520,-0.494973,0.328335,1.558242,0.000377
197062,197500,-0.495151,0.329378,1.557784,0.000442
197063,197501,-0.495151,0.329378,1.557784,0.000442
196624,197062,-0.495474,0.329677,1.557663,0.00048
196625,197063,-0.495474,0.329677,1.557663,0.00048
196186,196624,-0.495899,0.329912,1.557569,0.000516
196187,196625,-0.495899,0.329912,1.557569,0.000516
195748,196186,-0.496397,0.330066,1.557511,0.00054
195749,196187,-0.496397,0.330066,1.557511,0.00054
69734,69735,-0.498456,0.334997,1.560338,0.012021
121604,121605,-0.498456,0.334997,1.560338,0.012021
163469,163470,-0.498568,0.334821,1.560379,0.012117
193669,193670,-0.498568,0.334821,1.560379,0.012117
195310,195748,-0.496935,0.330129,1.557491,0.000549
195311,195749,-0.496935,0.330129,1.557491,0.000549
178706,178707,-0.495076,0.322315,1.556092,0.012563
198518,198519,-0.495076,0.322315,1.556092,0.012563
95685,95686,-0.495151,0.322148,1.556117,0.012462
127911,127912,-0.495151,0.322148,1.556117,0.012462
194872,195310,-0.497476,0.330096,1.557511,0.00054
194873,195311,-0.497476,0.330096,1.557511,0.00054
194434,194872,-0.497983,0.329971,1.557571,0.000516
194435,194873,-0.497983,0.329971,1.557571,0.000516
193999,194434,-0.498421,0.32976,1.557665,0.000481
194000,194435,-0.498421,0.32976,1.557665,0.000481
193668,193999,-0.49876,0.32948,1.557787,0.000442
193669,194000,-0.49876,0.32948,1.557787,0.000442
178705,178706,-0.494685,0.310675,1.552074,0.012108
198517,198518,-0.494685,0.310675,1.552074,0.012108
196616,197054,-0.478105,0.257373,1.545296,0.00024
196617,197055,-0.478105,0.257373,1.545296,0.00024
95686,95687,-0.494681,0.310393,1.552063,0.012456
127912,127913,-0.494681,0.310393,1.552063,0.012456
196178,196616,-0.478087,0.257439,1.545081,0.000233
196179,196617,-0.478087,0.257439,1.545081,0.000233
197054,197492,-0.478263,0.257315,1.545503,0.000305
197055,197493,-0.478263,0.257315,1.545503,0.000305
69735,69736,-0.498942,0.323357,1.555624,0.013142
121605,121606,-0.498942,0.323357,1.555624,0.013142
195740,196178,-0.478211,0.257507,1.544872,0.000288
195741,196179,-0.478211,0.257507,1.544872,0.000288
197492,197929,-0.47855,0.257268,1.545686,0.000388
197493,197930,-0.47855,0.257268,1.545686,0.000388
163468,163469,-0.499017,0.323189,1.55565,0.013039
193667,193668,-0.499017,0.323189,1.55565,0.013039
195302,195740,-0.478468,0.257574,1.544683,0.000371
195303,195741,-0.478468,0.257574,1.544683,0.000371
197929,198363,-0.478946,0.257235,1.545834,0.000464
197930,198364,-0.478946,0.257235,1.545834,0.000464
143486,143487,0.669991,0.305127,1.543788,0.011479
143487,163152,0.669991,0.305127,1.543788,0.011479
194864,195302,-0.47884,0.257634,1.544527,0.000449
194865,195303,-0.47884,0.257634,1.544527,0.000449
198363,198511,-0.479425,0.257245,1.545937,0.00052
198364,198512,-0.479425,0.257245,1.545937,0.00052
95991,95992,0.670067,0.304699,1.54385,0.0115
95992,127954,0.670067,0.304699,1.54385,0.0115
95688,95689,-0.487627,0.283343,1.547006,0.011977
194426,194864,-0.479302,0.257684,1.544414,0.00051
194427,194865,-0.479302,0.257684,1.544414,0.00051
178703,178704,-0.487959,0.282714,1.547968,0.011347
198515,198516,-0.487959,0.282714,1.547968,0.011347
178704,178705,-0.49201,0.296484,1.548836,0.017676
198516,198517,-0.49201,0.296484,1.548836,0.017676
193992,194427,-0.479822,0.25772,1.544353,0.000543
95687,95688,-0.492086,0.296653,1.54847,0.01656
127913,127914,-0.492086,0.296653,1.54847,0.01656
126247,126816,-0.489779,0.288849,1.547228,0.000245
126248,126817,-0.489779,0.288849,1.547228,0.000245
126816,127385,-0.48977,0.28892,1.547013,0.000229
126817,127386,-0.48977,0.28892,1.547013,0.000229
125678,126247,-0.48992,0.288736,1.547432,0.000313
125679,126248,-0.48992,0.288736,1.547432,0.000313
127385,127914,-0.489876,0.288898,1.5468,0.000277
127386,127915,-0.489876,0.288898,1.5468,0.000277
125109,125678,-0.490184,0.288589,1.547611,0.000396
125110,125679,-0.490184,0.288589,1.547611,0.000396
198360,198508,-0.47704,0.246648,1.544323,0.002165
198361,198509,-0.47704,0.246648,1.544323,0.002165
197926,198360,-0.477335,0.247712,1.544187,0.00019
197927,198361,-0.477335,0.247712,1.544187,0.00019
124540,125109,-0.490553,0.288416,1.547754,0.000469
124541,125110,-0.490553,0.288416,1.547754,0.000469
143485,143486,0.668294,0.295366,1.540808,0.009594
163151,163152,0.668294,0.295366,1.540808,0.009594
197489,197926,-0.477409,0.247737,1.544005,0.000221
197490,197927,-0.477409,0.247737,1.544005,0.000221
95990,95991,0.668254,0.294725,1.540913,0.010004
127953,127954,0.668254,0.294725,1.540913,0.010004
197051,197489,-0.477593,0.247725,1.543837,0.000287
197052,197490,-0.477593,0.247725,1.543837,0.000287
123971,124540,-0.491,0.288231,1.547849,0.000521
123972,124541,-0.491,0.288231,1.547849,0.000521
196613,197051,-0.477875,0.247677,1.543692,0.000357
196614,197052,-0.477875,0.247677,1.543692,0.000357
123402,123971,-0.491497,0.288046,1.547892,0.000545
123403,123972,-0.491497,0.288046,1.547892,0.000545
196175,196613,-0.478234,0.247597,1.543581,0.000415
196176,196614,-0.478234,0.247597,1.543581,0.000415
69736,69737,-0.498744,0.310902,1.551745,0.012993
121606,121607,-0.498744,0.310902,1.551745,0.012993
163467,163468,-0.49874,0.31062,1.551734,0.013341
193666,193667,-0.49874,0.31062,1.551734,0.013341
122833,123402,-0.492009,0.287872,1.547879,0.000538
122834,123403,-0.492009,0.287872,1.547879,0.000538
195737,196175,-0.478647,0.247489,1.543512,0.000452
195738,196176,-0.478647,0.247489,1.543512,0.000452
163465,163466,-0.490641,0.28363,1.546944,0.011116
193664,193665,-0.490641,0.28363,1.546944,0.011116
193661,193990,-0.480524,0.252316,1.54406,0.010877
69738,69739,-0.490973,0.283001,1.547906,0.010332
121609,121610,-0.490973,0.283001,1.547906,0.010332
195299,195737,-0.479085,0.247362,1.543489,0.000464
195300,195738,-0.479085,0.247362,1.543489,0.000464
122264,122833,-0.492501,0.287723,1.54781,0.000501
122265,122834,-0.492501,0.287723,1.54781,0.000501
127705,127952,0.668468,0.289839,1.53953,0.000312
127706,127953,0.668468,0.289839,1.53953,0.000312
127135,127705,0.66863,0.289657,1.539723,0.000326
127136,127706,0.66863,0.289657,1.539723,0.000326
126567,127135,0.668911,0.289546,1.539902,0.000387
126568,127136,0.668911,0.289546,1.539902,0.000387
194861,195299,-0.479519,0.247223,1.543514,0.00045
194862,195300,-0.479519,0.247223,1.543514,0.00045
121694,122264,-0.49294,0.287609,1.547691,0.000439
121695,122265,-0.49294,0.287609,1.547691,0.000439
125998,126567,0.669297,0.289497,1.540054,0.000453
125998,126568,0.669297,0.289497,1.540054,0.000453
194423,194861,-0.47992,0.247083,1.543585,0.000411
194424,194862,-0.47992,0.247083,1.543585,0.000411
121608,121694,-0.493295,0.287536,1.54753,0.000359
121609,121695,-0.493295,0.287536,1.54753,0.000359
69737,69738,-0.495922,0.296073,1.548755,0.018017
121607,121608,-0.495922,0.296073,1.548755,0.018017
193989,194423,-0.480259,0.24695,1.543697,0.000353
193990,194424,-0.480259,0.24695,1.543697,0.000353
163466,163467,-0.495999,0.296242,1.548389,0.016885
193665,193666,-0.495999,0.296242,1.548389,0.016885
193659,193989,-0.480513,0.246835,1.543843,0.000282
70034,70035,0.672332,0.295406,1.54081,0.009136
70035,121649,0.672332,0.295406,1.54081,0.009136
128263,128264,0.672291,0.294765,1.540915,0.009567
128264,158419,0.672291,0.294765,1.540915,0.009567
127395,127921,-0.475571,0.229734,1.542667,0.03376
95984,95985,0.654348,0.242063,1.532942,0.011531
127945,127946,0.654348,0.242063,1.532942,0.011531
143479,143480,0.65441,0.242052,1.53275,0.011566
163144,163145,0.65441,0.242052,1.53275,0.011566
122014,122584,0.672324,0.290661,1.539841,0.000357
122015,122584,0.672324,0.290661,1.539841,0.000357
178702,178703,-0.492359,0.274785,1.546777,0.013884
198514,198515,-0.492359,0.274785,1.546777,0.013884
121648,122014,0.672437,0.290901,1.539654,0.000305
121649,122015,0.672437,0.290901,1.539654,0.000305
95689,95690,-0.492125,0.274062,1.546205,0.015754
162585,163015,0.653504,0.237288,1.531662,0.0004
162586,163016,0.653504,0.237288,1.531662,0.0004
163015,163143,0.653441,0.236783,1.53179,0.000759
163016,163144,0.653441,0.236783,1.53179,0.000759
162157,162585,0.653807,0.237562,1.531527,0.000465
162158,162586,0.653807,0.237562,1.531527,0.000465
95691,95692,-0.488908,0.262747,1.544757,0.023788
127918,127919,-0.488908,0.262747,1.544757,0.023788
