edge_a,edge_b,mid_x,mid_y,mid_z,length
178420,178421,-0.483454,0.140473,1.56074,0.00914
198479,198480,-0.483454,0.140473,1.56074,0.00914
178683,178684,-0.483268,0.140533,1.560615,0.008914
198489,198490,-0.483268,0.140533,1.560615,0.008914
178421,178422,-0.48702,0.139483,1.561329,0.010307
198480,198481,-0.48702,0.139483,1.561329,0.010307
178682,178683,-0.486839,0.139453,1.561198,0.010563
198488,198489,-0.486839,0.139453,1.561198,0.010563
163444,163445,-0.486617,0.138862,1.560956,0.008665
193642,193643,-0.486617,0.138862,1.560956,0.008665
163183,163184,-0.486437,0.138832,1.560825,0.008639
193632,193633,-0.486437,0.138832,1.560825,0.008639
163445,163446,-0.487232,0.139854,1.56023,0.007972
193643,193644,-0.487232,0.139854,1.56023,0.007972
163182,163183,-0.487046,0.139914,1.560105,0.007762
193631,193632,-0.487046,0.139914,1.560105,0.007762
178684,178685,-0.481317,0.136051,1.55408,0.007455
198490,198491,-0.481317,0.136051,1.55408,0.007455
178419,178420,-0.481317,0.136099,1.554068,0.007423
198478,198479,-0.481317,0.136099,1.554068,0.007423
163184,163185,-0.484223,0.135853,1.555527,0.006282
193633,193634,-0.484223,0.135853,1.555527,0.006282
163443,163444,-0.484215,0.135976,1.555526,0.006273
193641,193642,-0.484215,0.135976,1.555526,0.006273
163181,163182,-0.485497,0.135853,1.553915,0.007407
193630,193631,-0.485497,0.135853,1.553915,0.007407
163446,163447,-0.485496,0.135901,1.553903,0.007375
193644,193645,-0.485496,0.135901,1.553903,0.007375
178681,178682,-0.488393,0.136085,1.55535,0.006406
198487,198488,-0.488393,0.136085,1.55535,0.006406
178422,178423,-0.488385,0.136208,1.555349,0.006398
198481,198482,-0.488385,0.136208,1.555349,0.006398
198491,198492,-0.479621,0.132703,1.547844,0.007107
178685,198477,-0.479618,0.132707,1.547835,0.00712
178418,178419,-0.479618,0.132751,1.547828,0.007146
198477,198478,-0.479618,0.132751,1.547828,0.007146
163185,163186,-0.482097,0.135327,1.549518,0.006805
193634,193635,-0.482097,0.135327,1.549518,0.006805
