edge_a,edge_b,mid_x,mid_y,mid_z,length
143200,143201,0.659231,0.12805,1.538051,0.012232
143201,163129,0.659231,0.12805,1.538051,0.012232
143464,143465,0.659226,0.128089,1.538064,0.012068
143464,163130,0.659226,0.128089,1.538064,0.012068
143199,143200,0.658586,0.130359,1.53469,0.008505
143199,163129,0.658586,0.130359,1.53469,0.008505
143465,143466,0.658581,0.130356,1.534665,0.008386
143466,163130,0.658581,0.130356,1.534665,0.008386
143469,143470,0.656844,0.130182,1.525984,0.017684
143469,163131,0.656844,0.130182,1.525984,0.017684
95974,95975,0.656725,0.130069,1.525823,0.017688
95974,127934,0.656725,0.130069,1.525823,0.017688
128248,128249,0.660826,0.146738,1.52559,0.0154
128248,158403,0.660826,0.146738,1.52559,0.0154
70019,70020,0.660759,0.146636,1.525404,0.015004
70019,121631,0.660759,0.146636,1.525404,0.015004
158720,159148,0.661346,0.154415,1.525363,0.000271
158720,159149,0.661346,0.154415,1.525363,0.000271
159148,159577,0.661107,0.154423,1.525169,0.000354
159149,159578,0.661107,0.154423,1.525169,0.000354
159577,160006,0.66075,0.154435,1.525006,0.000436
159578,160006,0.66075,0.154435,1.525006,0.000436
95975,95976,0.656709,0.146728,1.525821,0.015739
127934,127935,0.656709,0.146728,1.525821,0.015739
143470,143471,0.656642,0.146626,1.525636,0.015345
163131,163132,0.656642,0.146626,1.525636,0.015345
70020,70021,0.661262,0.16031,1.525651,0.012406
121631,121632,0.661262,0.16031,1.525651,0.012406
128249,128250,0.66135,0.160683,1.525696,0.012547
158403,158404,0.66135,0.160683,1.525696,0.012547
162147,162574,0.657816,0.154526,1.52508,0.000398
162147,162575,0.657816,0.154526,1.52508,0.000398
162574,163004,0.657513,0.154535,1.525259,0.000312
162575,163005,0.657513,0.154535,1.525259,0.000312
163004,163132,0.657333,0.154405,1.525464,0.000361
163005,163133,0.657333,0.154405,1.525464,0.000361
143471,143472,0.657211,0.160185,1.525547,0.011826
163133,163134,0.657211,0.160185,1.525547,0.011826
95976,95977,0.657299,0.160559,1.525591,0.011991
127935,127936,0.657299,0.160559,1.525591,0.011991
158724,159153,0.670013,0.19844,1.527341,0.000194
158725,159154,0.670013,0.19844,1.527341,0.000194
158407,158724,0.669947,0.198475,1.52753,0.000229
158408,158725,0.669947,0.198475,1.52753,0.000229
159153,159582,0.669986,0.198485,1.527151,0.000219
159154,159583,0.669986,0.198485,1.527151,0.000219
122001,122571,0.669376,0.197463,1.527434,0.000232
122002,122572,0.669376,0.197463,1.527434,0.000232
121635,122001,0.669398,0.197469,1.527219,0.000224
121636,122002,0.669398,0.197469,1.527219,0.000224
