name,type,category,data_name,data_users,collections,parent,parent_type,children,hide_viewport,hide_render,visible,location,rotation_euler,scale,matrix_world_translation,matrix_parent_inverse_translation,modifier_count,constraint_count,animation_action,driver_count,nla_track_count,bounds_min,bounds_max,bounds_center,dimensions_world,origin_to_bounds_center,origin_detached_candidate
177d920ddde57c74f8e1ef18863ab511,MESH,OTHER,177d920ddde57c74f8e1ef18863ab511,1,PROPS,Plane.023,OBJECT,177d920ddde57c74f8e1ef18863ab511.001 | Mball.008,False,False,True,"[0.0, -0.0305807963013649, 1.8784412145614624]","[1.5591026544570923, -2.596503399191703e-18, 1.5180381443069084e-20]","[1.0, 1.0, 1.0]","[-10.828648567199707, 19.174829483032227, 1.9385877847671509]","[5.587935669737476e-10, -1.8626451769865326e-10, -0.005405902862548828]",2,0,177d920ddde57c74f8e1ef18863ab511Action,0,0,"[-11.041844367980957, 19.15666389465332, 1.658949851989746]","[-10.61535930633545, 19.183134078979492, 2.218402862548828]","[-10.828601837158203, 19.169898986816406, 1.938676357269287]","[0.4264850616455078, 0.026470184326171875, 0.559453010559082]",0.004931513126732205,False
177d920ddde57c74f8e1ef18863ab511.001,MESH,OTHER,177d920ddde57c74f8e1ef18863ab511.001,1,PROPS,177d920ddde57c74f8e1ef18863ab511,OBJECT,,False,False,True,"[0.0, -0.03186700493097305, 1.8677538633346558]","[1.5707964897155762, -0.0, 0.0]","[1.0, 1.0, 1.0]","[-10.828648567199707, 19.174705505371094, 1.9279011487960815]","[-0.0, -1.8784412145614624, -0.03186692297458649]",3,0,177d920ddde57c74f8e1ef18863ab511.001Action,0,0,"[-10.954967498779297, 19.17275619506836, 1.7611058950424194]","[-10.7023286819458, 19.186620712280273, 2.094578742980957]","[-10.82864761352539, 19.1796875, 1.927842378616333]","[0.2526388168334961, 0.013864517211914062, 0.3334728479385376]",0.004982341349804638,False
Asphalt ground,MESH,OTHER,remeshed_object,1,ENVIRONMENT_AND_PARKING,,OBJECT,,False,False,True,"[0.0, 4.780939102172852, -0.8760008811950684]","[-0.009998553432524204, 0.03147376701235771, 0.7261602282524109]","[4.915334224700928, 4.915334224700928, 4.915334224700928]","[0.0, 4.780939102172852, -0.8760008811950684]","[0.0, 0.0, 0.0]",0,0,Asphalt groundAction,0,0,"[-32.99189758300781, -27.84233856201172, -1.9832922220230103]","[37.77414321899414, 42.47335433959961, 1.8610039949417114]","[2.391122817993164, 7.315507888793945, -0.061144113540649414]","[70.76603698730469, 70.31568908691406, 3.8442962169647217]",3.578477150858364,False
Audi e-tron GT quattro Black,EMPTY,OTHER,,0,IMPORTED_CAR_OR_GENERIC_ASSET_PARTS,,OBJECT,Bolt.002 | Circle | Circle.001 | Circle.002 | Circle.003 | Circle.006 | Circle.007 | Circle.009 | Circle.011 | Plane | Plane.002 | Plane.003 | Plane.004 | Plane.005 | Plane.006 | Plane.007 | Plane.008 | Plane.009 | Plane.010 | Plane.011 | Plane.012 | Plane.013 | Plane.014 | Plane.015 | Plane.016 | Plane.017 | Plane.018 | Plane.019 | Plane.020 | Plane.021 | Plane.024 | Plane.025 | Plane.026 | Plane.027 | Plane.028 | Plane.030 | Plane.031 | Plane.032 | Plane.033 | Plane.034 | Plane.035 | Plane.036 | Plane.037 | Plane.038 | Plane.039 | Plane.040 | Plane.041 | Plane.042 | Plane.043 | Plane.045 | Plane.047 | Plane.048 | Plane.049 | Plane.050 | Plane.051 | Plane.052 | Plane.053 | Plane.054 | Plane.055 | Plane.056 | Plane.057 | Plane.058 | Plane.059 | Plane.060 | Plane.061 | Plane.062 | Plane.063 | Plane.064 | Plane.065 | Plane.066 | Plane.067 | Plane.068 | Plane.069 | Plane.070 | Plane.071 | Plane.072 | Plane.074 | Plane.076 | Plane.077,False,False,True,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.0, -0.0, 3.6207094192504883]","[1.604430913925171, 1.604430913925171, 1.604430913925171]","[-1.5113588571548462, 5.169170379638672, 0.0]","[0.0, 0.0, 0.0]",0,0,Audi e-tron GT quattro BlackAction,0,0,,,,,,False
Axle.001,MESH,OTHER,Mesh.010,1,PROPS,Large Trash Can,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 23.24567222595215, 0.0]","[-0.0, 0.0, -0.0]",0,0,Axle.001Action,0,0,"[-0.4598848521709442, 23.528108596801758, 0.17701086401939392]","[0.4598848521709442, 23.56143569946289, 0.21033881604671478]","[0.0, 23.54477310180664, 0.19367483258247375]","[0.9197697043418884, 0.03332710266113281, 0.03332795202732086]",0.3563302886569343,True
Bolt,MESH,PROTECTED_EFFECT,Bolt,1,SAME_NAME_Bolt,Plane.023,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, -0.0, 0.0]","[1.0, 1.0, 1.0]","[-10.828648567199707, 19.20541000366211, 0.060146719217300415]","[5.587935669737476e-10, -1.8626451769865326e-10, -0.005405902862548828]",4,0,BoltAction,0,0,"[-10.91115951538086, 19.116283416748047, 0.08529672026634216]","[-10.746136665344238, 19.29453468322754, 0.09460762143135071]","[-10.82864761352539, 19.20541000366211, 0.08995217084884644]","[0.1650228500366211, 0.1782512664794922, 0.009310901165008545]",0.02980545206040111,False
Bolt.001,MESH,PROTECTED_EFFECT,Bolt.001,1,SAME_NAME_Bolt,Plane.023,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, -0.0, 0.0]","[1.0, 1.0, 1.0]","[-10.828648567199707, 19.20541000366211, 0.060146719217300415]","[5.587935669737476e-10, -1.8626451769865326e-10, -0.005405902862548828]",3,0,Bolt.001Action,0,0,"[-10.835000991821289, 19.21756935119629, 1.8372184038162231]","[-10.82199764251709, 19.228008270263672, 2.0382485389709473]","[-10.828498840332031, 19.222789764404297, 1.9377334117889404]","[0.013003349304199219, 0.010438919067382812, 0.20103013515472412]",1.8776671836433452,True
Bolt.002,MESH,PROTECTED_EFFECT,Bolt.002,1,SAME_NAME_Bolt,Audi e-tron GT quattro Black,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-1.5113588571548462, 5.169170379638672, 0.0]","[-0.0, 0.0, -0.0]",0,0,Bolt.002Action,0,0,"[-4.00938606262207, 2.3299617767333984, 0.458209365606308]","[0.952641487121582, 8.073878288269043, 0.6854181289672852]","[-1.5283722877502441, 5.201920032501221, 0.5718137621879578]","[4.962027549743652, 5.7439165115356445, 0.22720876336097717]",0.5730034565487383,False
CAM_ANIM_Close,CAMERA,OTHER,CAM_ANIM_Close_Data,1,CAMERAS,,OBJECT,,True,True,False,"[-0.6176102757453918, -3.9237451553344727, 3.903456449508667]","[1.328497290611267, 2.757062134151056e-08, 0.49248573184013367]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0,0,,0,0,,,,,,False
CAM_ANIM_Medium,CAMERA,OTHER,CAM_ANIM_Medium_Data,1,CAMERAS,,OBJECT,,True,True,False,"[2.182389736175537, -6.923745155334473, 4.703456401824951]","[1.3504880666732788, 6.855184153664595e-08, 0.5942136645317078]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0,0,,0,0,,,,,,False
CAM_ANIM_Wide,CAMERA,OTHER,CAM_ANIM_Wide_Data,1,CAMERAS,,OBJECT,,True,True,False,"[6.182389736175537, -11.423745155334473, 6.403456211090088]","[1.3326385021209717, 5.332593033813282e-08, 0.6316906213760376]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0,0,,0,0,,,,,,False
CAM_F2_Front,CAMERA,CHARACTER,CAM_F2_Front_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-0.21555107831954956, -5.985822677612305, 2.080284595489502]","[1.479385256767273, -0.0, 0.0]","[1.0, 1.0, 1.0]","[-0.21555107831954956, -5.985822677612305, 2.080284595489502]","[0.0, 0.0, 0.0]",0,0,CAM_F2_FrontAction,0,0,,,,,,False
CAM_F2_Profile,CAMERA,CHARACTER,CAM_F2_Profile_Data,1,CAMERAS,,OBJECT,,False,False,True,"[5.284449100494385, -0.5858227014541626, 2.080284595489502]","[1.4717116355895996, 1.1992301551799756e-07, 1.4621351957321167]","[1.0, 1.0, 1.0]","[5.284449100494385, -0.5858227014541626, 2.080284595489502]","[0.0, 0.0, 0.0]",0,0,CAM_F2_ProfileAction,0,0,,,,,,False
CAM_F2_ThreeQuarter,CAMERA,CHARACTER,CAM_F2_ThreeQuarter_Data,1,CAMERAS,,OBJECT,,False,False,True,"[3.58444881439209, -5.785822868347168, 2.2802844047546387]","[1.4630521535873413, 8.603631584946925e-09, 0.5800027251243591]","[1.0, 1.0, 1.0]","[3.58444881439209, -5.785822868347168, 2.2802844047546387]","[0.0, 0.0, 0.0]",0,0,CAM_F2_ThreeQuarterAction,0,0,,,,,,False
CAM_Hood_Front,CAMERA,CLOTHING,CAM_Hood_Front_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-2.6376101970672607, -3.9237451553344727, 3.0894391536712646]","[1.5208884477615356, -3.705778350848732e-09, 0.04496968537569046]","[1.0, 1.0, 1.0]","[-2.6376101970672607, -3.9237451553344727, 3.0894391536712646]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_FrontAction,0,0,,,,,,False
CAM_Hood_LeftSide,CAMERA,CLOTHING,CAM_Hood_LeftSide_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-6.417610168457031, 0.07625488936901093, 3.5394392013549805]","[1.4056477546691895, -0.0, -1.5707964897155762]","[1.0, 1.0, 1.0]","[-6.417610168457031, 0.07625488936901093, 3.5394392013549805]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_LeftSideAction,0,0,,,,,,False
CAM_Hood_RightSide,CAMERA,CLOTHING,CAM_Hood_RightSide_Data,1,CAMERAS,,OBJECT,,False,False,True,"[0.782389760017395, 0.07625488936901093, 3.5394392013549805]","[1.4056477546691895, -0.0, 1.5707964897155762]","[1.0, 1.0, 1.0]","[0.782389760017395, 0.07625488936901093, 3.5394392013549805]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_RightSideAction,0,0,,,,,,False
CAM_Hood_Top,CAMERA,CLOTHING,CAM_Hood_Top_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-2.7676103115081787, -0.14374510943889618, 6.139439105987549]","[0.07506294548511505, 1.8727165240761678e-07, 0.22347640991210938]","[1.0, 1.0, 1.0]","[-2.7676103115081787, -0.14374510943889618, 6.139439105987549]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_TopAction,0,0,,,,,,False
CAM_SceneWide,CAMERA,OTHER,CAM_SceneWide_Data,1,CAMERAS,,OBJECT,,False,False,True,"[5.682389736175537, -10.423745155334473, 6.8034563064575195]","[1.2948137521743774, -4.914242879294761e-08, 0.6365084052085876]","[1.0, 1.0, 1.0]","[5.682389736175537, -10.423745155334473, 6.8034563064575195]","[0.0, 0.0, 0.0]",0,0,CAM_SceneWideAction,0,0,,,,,,False
