name,type,category,data_name,data_users,collections,parent,parent_type,children,hide_viewport,hide_render,visible,location,rotation_euler,scale,matrix_world_translation,matrix_parent_inverse_translation,modifier_count,constraint_count,animation_action,driver_count,nla_track_count,bounds_min,bounds_max,bounds_center,dimensions_world,origin_to_bounds_center,origin_detached_candidate
CAM_F2_Front,CAMERA,CHARACTER,CAM_F2_Front_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-0.21555107831954956, -5.985822677612305, 2.080284595489502]","[1.479385256767273, -0.0, 0.0]","[1.0, 1.0, 1.0]","[-0.21555107831954956, -5.985822677612305, 2.080284595489502]","[0.0, 0.0, 0.0]",0,0,CAM_F2_FrontAction,0,0,,,,,,False
CAM_F2_Profile,CAMERA,CHARACTER,CAM_F2_Profile_Data,1,CAMERAS,,OBJECT,,False,False,True,"[5.284449100494385, -0.5858227014541626, 2.080284595489502]","[1.4717116355895996, 1.1992301551799756e-07, 1.4621351957321167]","[1.0, 1.0, 1.0]","[5.284449100494385, -0.5858227014541626, 2.080284595489502]","[0.0, 0.0, 0.0]",0,0,CAM_F2_ProfileAction,0,0,,,,,,False
CAM_F2_ThreeQuarter,CAMERA,CHARACTER,CAM_F2_ThreeQuarter_Data,1,CAMERAS,,OBJECT,,False,False,True,"[3.58444881439209, -5.785822868347168, 2.2802844047546387]","[1.4630521535873413, 8.603631584946925e-09, 0.5800027251243591]","[1.0, 1.0, 1.0]","[3.58444881439209, -5.785822868347168, 2.2802844047546387]","[0.0, 0.0, 0.0]",0,0,CAM_F2_ThreeQuarterAction,0,0,,,,,,False
CAM_Hood_Front,CAMERA,CLOTHING,CAM_Hood_Front_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-2.6376101970672607, -3.9237451553344727, 3.0894391536712646]","[1.5208884477615356, -3.705778350848732e-09, 0.04496968537569046]","[1.0, 1.0, 1.0]","[-2.6376101970672607, -3.9237451553344727, 3.0894391536712646]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_FrontAction,0,0,,,,,,False
CAM_Hood_LeftSide,CAMERA,CLOTHING,CAM_Hood_LeftSide_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-6.417610168457031, 0.07625488936901093, 3.5394392013549805]","[1.4056477546691895, -0.0, -1.5707964897155762]","[1.0, 1.0, 1.0]","[-6.417610168457031, 0.07625488936901093, 3.5394392013549805]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_LeftSideAction,0,0,,,,,,False
CAM_Hood_RightSide,CAMERA,CLOTHING,CAM_Hood_RightSide_Data,1,CAMERAS,,OBJECT,,False,False,True,"[0.782389760017395, 0.07625488936901093, 3.5394392013549805]","[1.4056477546691895, -0.0, 1.5707964897155762]","[1.0, 1.0, 1.0]","[0.782389760017395, 0.07625488936901093, 3.5394392013549805]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_RightSideAction,0,0,,,,,,False
CAM_Hood_Top,CAMERA,CLOTHING,CAM_Hood_Top_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-2.7676103115081787, -0.14374510943889618, 6.139439105987549]","[0.07506294548511505, 1.8727165240761678e-07, 0.22347640991210938]","[1.0, 1.0, 1.0]","[-2.7676103115081787, -0.14374510943889618, 6.139439105987549]","[0.0, 0.0, 0.0]",0,0,CAM_Hood_TopAction,0,0,,,,,,False
Cargo pants,MESH,CLOTHING,Cargo pants,1,PANTS,,OBJECT,,False,False,True,"[-0.0027921944856643677, 0.03338572382926941, 0.5093981027603149]","[0.0, 0.0, 0.0]","[2.864536762237549, 3.3314666748046875, 0.8818214535713196]","[-0.0027921944856643677, 0.03338572382926941, 0.5093981027603149]","[-0.0, 0.0, -0.0]",1,0,Cargo pantsAction,0,0,"[-0.4179287552833557, -0.2528274357318878, 0.5096121430397034]","[0.44308167695999146, 0.3020385205745697, 1.2564749717712402]","[0.012576460838317871, 0.024605542421340942, 0.8830435276031494]","[0.8610104322433472, 0.5548659563064575, 0.7468628287315369]",0.37406441775714805,False
F2,MESH,CHARACTER,Meshy_Left_Standing_Candidate.006,1,Main Model,,OBJECT,,False,False,True,"[2.3136987686157227, -0.2618328332901001, 0.48427021503448486]","[1.570796251296997, -0.0, 0.0]","[3.634430170059204, 3.634430170059204, 3.634430170059204]","[2.3136987686157227, -0.2618328332901001, 0.48427021503448486]","[0.0, 0.0, 0.0]",0,0,F2Action,0,0,"[-1.1231653690338135, -0.4151705801486969, 0.39730575680732727]","[1.1144416332244873, 0.31626853346824646, 2.4899609088897705]","[-0.004361867904663086, -0.04945102334022522, 1.4436333179473877]","[2.237607002258301, 0.7314391136169434, 2.0926551818847656]",2.51771494950104,True
Handlebars.001,MESH,CHARACTER,Mesh.015,1,PROPS,Large Trash Can,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 23.24567222595215, 0.0]","[-0.0, 0.0, -0.0]",0,0,Handlebars.001Action,0,0,"[-0.3443523943424225, 23.715375900268555, 1.5129683017730713]","[0.34446802735328674, 23.91191291809082, 1.7240326404571533]","[5.7816505432128906e-05, 23.813644409179688, 1.6185004711151123]","[0.6888204216957092, 0.19653701782226562, 0.21106433868408203]",1.7152656358783003,True
