object,category,origin_world,bounds_center,distance,dimensions_world,parent,data_users
Axle.001,OTHER,"[0.0, 23.24567222595215, 0.0]","[0.0, 23.54477310180664, 0.19367483258247375]",0.3563302886569343,"[0.9197697043418884, 0.03332710266113281, 0.03332795202732086]",Large Trash Can,1
Bolt.001,PROTECTED_EFFECT,"[-10.828648567199707, 19.20541000366211, 0.060146719217300415]","[-10.828498840332031, 19.222789764404297, 1.9377334117889404]",1.8776671836433452,"[0.013003349304199219, 0.010438919067382812, 0.20103013515472412]",Plane.023,1
Can.001,OTHER,"[0.0, 23.24567222595215, 0.0]","[1.4483928680419922e-05, 23.197307586669922, 0.8569396734237671]",0.8583034157781754,"[1.133626937866211, 1.1846466064453125, 1.642577886581421]",Large Trash Can,1
Circle,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.332056999206543, 8.674102783203125, 0.58978271484375]",3.993411688287992,"[0.032936811447143555, 0.039333343505859375, 0.019298136234283447]",Audi e-tron GT quattro Black,1
Circle.001,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.3255693912506104, 8.662193298339844, 0.9565015435218811]",4.050612811244006,"[0.35311460494995117, 0.22417545318603516, 0.11715996265411377]",Audi e-tron GT quattro Black,1
Circle.002,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.2527785301208496, 6.687010765075684, 1.4542630910873413]",2.228996098014801,"[2.059893846511841, 1.35899019241333, 0.13649821281433105]",Audi e-tron GT quattro Black,1
Circle.006,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.25446850061416626, 1.7766258716583252, 1.4346191883087158]",4.084805625390626,"[0.29875481128692627, 0.20507383346557617, 0.07857871055603027]",Audi e-tron GT quattro Black,1
Circle.007,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.2861056327819824, 8.586227416992188, 0.9651973247528076]",3.9695857587291528,"[0.45330214500427246, 0.37082862854003906, 0.13842034339904785]",Audi e-tron GT quattro Black,1
F2,CHARACTER,"[2.3136987686157227, -0.2618328332901001, 0.48427021503448486]","[-0.004361867904663086, -0.04945102334022522, 1.4436333179473877]",2.51771494950104,"[2.237607002258301, 0.7314391136169434, 2.0926551818847656]",,1
Handlebars.001,CHARACTER,"[0.0, 23.24567222595215, 0.0]","[5.7816505432128906e-05, 23.813644409179688, 1.6185004711151123]",1.7152656358783003,"[0.6888204216957092, 0.19653701782226562, 0.21106433868408203]",Large Trash Can,1
Lid.001,OTHER,"[0.0007629403262399137, 23.882131576538086, 1.6940628290176392]","[0.0007632076740264893, 23.287689208984375, 1.7290194034576416]",0.5954693005080545,"[1.0539140701293945, 1.2603607177734375, 0.13817429542541504]",Large Trash Can,1
Lightning,PROTECTED_EFFECT,"[-117.52604675292969, -0.04423290491104126, 25.995426177978516]","[-77.66474914550781, 295.28533935546875, 254.37989807128906]",375.4569731949363,"[67.35944366455078, 93.88418579101562, 524.6354370117188]",,1
Lowerpoly hoodie,CLOTHING,"[0.016639718785881996, -0.04106549173593521, 0.35124439001083374]","[-0.0011906623840332031, -0.0008291304111480713, 1.793667197227478]",1.4430941404284678,"[2.054003953933716, 0.7635518908500671, 1.482675313949585]",,1
Plane,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.746112823486328, 7.54603385925293, 1.299487829208374]",2.9770397694743655,"[3.181260108947754, 3.1411490440368652, 0.4629713296890259]",Audi e-tron GT quattro Black,1
Plane.002,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.0421717166900635, 8.115939140319824, 0.7364633083343506]",3.401354465247256,"[3.4072070121765137, 2.653353214263916, 0.8570043444633484]",Audi e-tron GT quattro Black,1
Plane.003,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.168842077255249, 8.35977554321289, 0.7189832925796509]",3.6666263402903168,"[2.920680522918701, 2.0142436027526855, 0.7524855136871338]",Audi e-tron GT quattro Black,1
Plane.008,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-1.1774680614471436, 4.526440620422363, 2.0822768211364746]",2.2046454489149387,"[2.9029250144958496, 3.179534435272217, 0.2807234525680542]",Audi e-tron GT quattro Black,1
Plane.009,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.262796401977539, 8.540635108947754, 0.7814624309539795]",3.8787873894342786,"[1.7435626983642578, 1.1433558464050293, 0.7732813954353333]",Audi e-tron GT quattro Black,1
Plane.010,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.04984813928604126, 2.1638941764831543, 1.52398681640625]",3.7137027436250767,"[2.1937570571899414, 1.773014783859253, 0.3348344564437866]",Audi e-tron GT quattro Black,1
Plane.011,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.2239823043346405, 1.8286911249160767, 1.1258246898651123]",3.9290828808494287,"[1.5513460636138916, 0.9071924686431885, 0.32112377882003784]",Audi e-tron GT quattro Black,1
Plane.012,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-0.05058234930038452, 2.357219934463501, 1.6399016380310059]",3.567942126704971,"[1.8085380792617798, 1.297401785850525, 0.17708027362823486]",Audi e-tron GT quattro Black,1
Plane.013,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.06848210096359253, 2.1280245780944824, 0.828768253326416]",3.525807947201011,"[3.2627758979797363, 2.4312121868133545, 0.5962027907371521]",Audi e-tron GT quattro Black,1
Plane.014,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.0862686038017273, 2.0937862396240234, 0.4823138415813446]",3.4990038092677795,"[3.1334609985351562, 2.288275957107544, 0.529347836971283]",Audi e-tron GT quattro Black,1
Plane.015,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.2373666763305664, 1.8029266595840454, 0.5750561952590942]",3.8367079720474884,"[2.0593581199645996, 1.3074543476104736, 0.3119594156742096]",Audi e-tron GT quattro Black,1
