name,base_name,type,category_guess,visible_viewport,hide_viewport,hide_render,hide_select,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
CAM_ANIM_Close,CAM_ANIM_Close,CAMERA,Cameras,False,True,True,False,1,CAMERAS,CAM_ANIM_Close_Data,1,0,0,,0
CAM_ANIM_Medium,CAM_ANIM_Medium,CAMERA,Cameras,False,True,True,False,1,CAMERAS,CAM_ANIM_Medium_Data,1,0,0,,0
CAM_ANIM_Wide,CAM_ANIM_Wide,CAMERA,Cameras,False,True,True,False,1,CAMERAS,CAM_ANIM_Wide_Data,1,0,0,,0
CAM_Hood_Front,CAM_Hood_Front,CAMERA,Cameras,False,False,False,False,1,CAMERAS,CAM_Hood_Front_Data,1,0,0,,0
CAM_Hood_LeftSide,CAM_Hood_LeftSide,CAMERA,Cameras,False,False,False,False,1,CAMERAS,CAM_Hood_LeftSide_Data,1,0,0,,0
CAM_Hood_RightSide,CAM_Hood_RightSide,CAMERA,Cameras,False,False,False,False,1,CAMERAS,CAM_Hood_RightSide_Data,1,0,0,,0
CAM_Hood_Top,CAM_Hood_Top,CAMERA,Cameras,False,False,False,False,1,CAMERAS,CAM_Hood_Top_Data,1,0,0,,0
F2.001,F2,MESH,Character,False,True,True,False,1,Main Model,Meshy_Left_Standing_Candidate.006,2,33625,63717,,0
FX_TrafficLight_Green,FX_TrafficLight_Green,LIGHT,Lighting / Reflections,False,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,FX_TrafficLight_Green_Data,1,0,0,,0
FX_TrafficLight_Red,FX_TrafficLight_Red,LIGHT,Lighting / Reflections,False,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,FX_TrafficLight_Red_Data,1,0,0,,0
FX_TrafficLight_Yellow,FX_TrafficLight_Yellow,LIGHT,Lighting / Reflections,False,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,FX_TrafficLight_Yellow_Data,1,0,0,,0
