name,base_name,type,category_guess,visible_viewport,hide_viewport,hide_render,hide_select,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
177d920ddde57c74f8e1ef18863ab511,177d920ddde57c74f8e1ef18863ab511,MESH,Unsorted / Review,True,False,False,False,1,PROPS,177d920ddde57c74f8e1ef18863ab511,1,874,872,Plane.023,2
177d920ddde57c74f8e1ef18863ab511.001,177d920ddde57c74f8e1ef18863ab511,MESH,Unsorted / Review,True,False,False,False,1,PROPS,177d920ddde57c74f8e1ef18863ab511.001,1,8,6,177d920ddde57c74f8e1ef18863ab511,0
Asphalt ground,Asphalt ground,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,remeshed_object,1,16441,16154,,0
Audi e-tron GT quattro Black,Audi e-tron GT quattro Black,EMPTY,Hero Car,True,False,False,False,1,IMPORTED_CAR_OR_GENERIC_ASSET_PARTS,,0,0,0,,79
Axle.001,Axle,MESH,Unsorted / Review,True,False,False,False,1,PROPS,Mesh.010,1,302,320,Large Trash Can,0
Bolt,Bolt,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Bolt,Bolt,1,293,304,Plane.023,0
Bolt.001,Bolt,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Bolt,Bolt.001,1,586,608,Plane.023,0
Bolt.002,Bolt,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Bolt,Bolt.002,1,5440,5688,Audi e-tron GT quattro Black,0
CAM_F2_Front,CAM_F2_Front,CAMERA,Cameras,True,False,False,False,1,CAMERAS,CAM_F2_Front_Data,1,0,0,,0
CAM_F2_Profile,CAM_F2_Profile,CAMERA,Cameras,True,False,False,False,1,CAMERAS,CAM_F2_Profile_Data,1,0,0,,0
CAM_F2_ThreeQuarter,CAM_F2_ThreeQuarter,CAMERA,Cameras,True,False,False,False,1,CAMERAS,CAM_F2_ThreeQuarter_Data,1,0,0,,0
CAM_SceneWide,CAM_SceneWide,CAMERA,Cameras,True,False,False,False,1,CAMERAS,CAM_SceneWide_Data,1,0,0,,0
CAM_StorefrontReflection,CAM_StorefrontReflection,CAMERA,Cameras,True,False,False,False,1,CAMERAS,CAM_StorefrontReflection_Data,1,0,0,,0
CAM_Target,CAM_Target,EMPTY,Cameras,True,False,False,False,1,CAMERAS,,0,0,0,,0
Can.001,Can,MESH,Unsorted / Review,True,False,False,False,1,PROPS,Mesh.014,1,11142,12327,Large Trash Can,0
Cargo pants,Cargo pants,MESH,Clothing - Lower / Shoes,True,False,False,False,1,PANTS,Cargo pants,1,16507,16424,,0
Cast iron sewer hatch,Cast iron sewer hatch,EMPTY,Unsorted / Review,True,False,False,False,1,PROPS,,0,0,0,,1
Circle,Circle,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Circle,Circle.001,1,161,156,Audi e-tron GT quattro Black,0
