name,base_name,type,visible,hide_viewport,hide_render,hide_select,collections,data_name,data_users,vertices,faces,modifiers,bounds_world
177d920ddde57c74f8e1ef18863ab511,177d920ddde57c74f8e1ef18863ab511,MESH,True,False,False,False,"[""PROPS""]",177d920ddde57c74f8e1ef18863ab511,1,874,872,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""PARKING_TO_ASPHALT_PREVIEW"", ""type"": ""SHRINKWRAP"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-11.041844, 19.156664, 1.65895], ""max"": [-10.615359, 19.183134, 2.218403], ""center"": [-10.828602, 19.169899, 1.938676], ""dimensions"": [0.426485, 0.02647, 0.559453]}"
177d920ddde57c74f8e1ef18863ab511.001,177d920ddde57c74f8e1ef18863ab511,MESH,True,False,False,False,"[""PROPS""]",177d920ddde57c74f8e1ef18863ab511.001,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormal"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""PARKING_TO_ASPHALT_PREVIEW"", ""type"": ""SHRINKWRAP"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-10.954967, 19.172756, 1.761106], ""max"": [-10.702329, 19.186621, 2.094579], ""center"": [-10.828648, 19.179688, 1.927842], ""dimensions"": [0.252639, 0.013865, 0.333473]}"
Asphalt ground,Asphalt ground,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",remeshed_object,1,16441,16154,[],"{""min"": [-32.991898, -27.842339, -1.983292], ""max"": [37.774143, 42.473354, 1.861004], ""center"": [2.391123, 7.315508, -0.061144], ""dimensions"": [70.766037, 70.315689, 3.844296]}"
Audi e-tron GT quattro Black,Audi e-tron GT quattro Black,EMPTY,True,False,False,False,"[""IMPORTED_CAR_OR_GENERIC_ASSET_PARTS""]",,0,0,0,[],
Axle.001,Axle,MESH,True,False,False,False,"[""PROPS""]",Mesh.010,1,302,320,[],"{""min"": [-0.459885, 23.528109, 0.177011], ""max"": [0.459885, 23.561436, 0.210339], ""center"": [0.0, 23.544773, 0.193675], ""dimensions"": [0.91977, 0.033327, 0.033328]}"
Bolt,Bolt,MESH,True,False,False,False,"[""SAME_NAME_Bolt""]",Bolt,1,293,304,"[{""name"": ""Mirror"", ""type"": ""MIRROR"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormal"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""PARKING_TO_ASPHALT_PREVIEW"", ""type"": ""SHRINKWRAP"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-10.91116, 19.116283, 0.085297], ""max"": [-10.746137, 19.294535, 0.094608], ""center"": [-10.828648, 19.20541, 0.089952], ""dimensions"": [0.165023, 0.178251, 0.009311]}"
Bolt.001,Bolt,MESH,True,False,False,False,"[""SAME_NAME_Bolt""]",Bolt.001,1,586,608,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormal"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""PARKING_TO_ASPHALT_PREVIEW"", ""type"": ""SHRINKWRAP"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-10.835001, 19.217569, 1.837218], ""max"": [-10.821998, 19.228008, 2.038249], ""center"": [-10.828499, 19.22279, 1.937733], ""dimensions"": [0.013003, 0.010439, 0.20103]}"
Bolt.002,Bolt,MESH,True,False,False,False,"[""SAME_NAME_Bolt""]",Bolt.002,1,5440,5688,[],"{""min"": [-4.009386, 2.329962, 0.458209], ""max"": [0.952641, 8.073878, 0.685418], ""center"": [-1.528372, 5.20192, 0.571814], ""dimensions"": [4.962028, 5.743917, 0.227209]}"
CAM_ANIM_Close,CAM_ANIM_Close,CAMERA,False,True,True,False,"[""CAMERAS""]",CAM_ANIM_Close_Data,1,0,0,[],
CAM_ANIM_Medium,CAM_ANIM_Medium,CAMERA,False,True,True,False,"[""CAMERAS""]",CAM_ANIM_Medium_Data,1,0,0,[],
CAM_ANIM_Wide,CAM_ANIM_Wide,CAMERA,False,True,True,False,"[""CAMERAS""]",CAM_ANIM_Wide_Data,1,0,0,[],
CAM_F2_Front,CAM_F2_Front,CAMERA,True,False,False,False,"[""CAMERAS""]",CAM_F2_Front_Data,1,0,0,[],
CAM_F2_Profile,CAM_F2_Profile,CAMERA,True,False,False,False,"[""CAMERAS""]",CAM_F2_Profile_Data,1,0,0,[],
CAM_F2_ThreeQuarter,CAM_F2_ThreeQuarter,CAMERA,True,False,False,False,"[""CAMERAS""]",CAM_F2_ThreeQuarter_Data,1,0,0,[],
CAM_Hood_Front,CAM_Hood_Front,CAMERA,False,False,False,False,"[""CAMERAS""]",CAM_Hood_Front_Data,1,0,0,[],
CAM_Hood_LeftSide,CAM_Hood_LeftSide,CAMERA,False,False,False,False,"[""CAMERAS""]",CAM_Hood_LeftSide_Data,1,0,0,[],
CAM_Hood_RightSide,CAM_Hood_RightSide,CAMERA,False,False,False,False,"[""CAMERAS""]",CAM_Hood_RightSide_Data,1,0,0,[],
CAM_Hood_Top,CAM_Hood_Top,CAMERA,False,False,False,False,"[""CAMERAS""]",CAM_Hood_Top_Data,1,0,0,[],
CAM_SceneWide,CAM_SceneWide,CAMERA,True,False,False,False,"[""CAMERAS""]",CAM_SceneWide_Data,1,0,0,[],
CAM_StorefrontReflection,CAM_StorefrontReflection,CAMERA,True,False,False,False,"[""CAMERAS""]",CAM_StorefrontReflection_Data,1,0,0,[],
CAM_Target,CAM_Target,EMPTY,True,False,False,False,"[""CAMERAS""]",,0,0,0,[],
Can.001,Can,MESH,True,False,False,False,"[""PROPS""]",Mesh.014,1,11142,12327,[],"{""min"": [-0.566799, 22.604984, 0.035651], ""max"": [0.566828, 23.789631, 1.678229], ""center"": [1.4e-05, 23.197308, 0.85694], ""dimensions"": [1.133627, 1.184647, 1.642578]}"
Cargo pants,Cargo pants,MESH,True,False,False,False,"[""PANTS""]",Cargo pants,1,16507,16424,"[{""name"": ""Collision"", ""type"": ""COLLISION"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-0.42348, -0.232158, 0.221276], ""max"": [0.620876, 0.37724, 1.194326], ""center"": [0.098698, 0.072541, 0.707801], ""dimensions"": [1.044356, 0.609398, 0.97305]}"
Cast iron sewer hatch,Cast iron sewer hatch,EMPTY,True,False,False,False,"[""PROPS""]",,0,0,0,[],
Circle,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.001,1,161,156,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-3.348525, 8.654436, 0.580134], ""max"": [-3.315588, 8.693769, 0.599432], ""center"": [-3.332057, 8.674103, 0.589783], ""dimensions"": [0.032937, 0.039333, 0.019298]}"
Circle.001,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.002,1,1402,1280,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormal"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-3.502127, 8.550106, 0.897922], ""max"": [-3.149012, 8.774282, 1.015082], ""center"": [-3.325569, 8.662193, 0.956502], ""dimensions"": [0.353115, 0.224175, 0.11716]}"
Circle.002,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.006,1,4324,4282,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-3.282725, 6.007515, 1.386014], ""max"": [-1.222831, 7.366506, 1.522512], ""center"": [-2.252779, 6.687011, 1.454263], ""dimensions"": [2.059894, 1.35899, 0.136498]}"
Circle.003,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.007,1,24792,20464,"[{""name"": ""Smooth by Angle"", ""type"": ""NODES"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-4.068943, 2.155668, 0.2451], ""max"": [1.014072, 8.244566, 0.918895], ""center"": [-1.527435, 5.200117, 0.581997], ""dimensions"": [5.083015, 6.088898, 0.673795]}"
