name,type,category_guess,visible_viewport,hide_viewport_flag,hide_render_flag,hide_select_flag,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
177d920ddde57c74f8e1ef18863ab511,MESH,Unsorted / Needs Review,True,False,False,False,1,No Parking Sign Board,177d920ddde57c74f8e1ef18863ab511,1,874,872,Plane.023,2
177d920ddde57c74f8e1ef18863ab511.001,MESH,Unsorted / Needs Review,True,False,False,False,1,No Parking Sign Board,177d920ddde57c74f8e1ef18863ab511.001,1,8,6,177d920ddde57c74f8e1ef18863ab511,0
Asphalt ground,MESH,Environment / Props,True,False,False,False,2,Asphalt ground; ENV_PARKING,remeshed_object,1,16441,16154,,0
Audi e-tron GT quattro Black,EMPTY,Environment / Props,True,False,False,False,1,Audi e-tron GT quattro Black,,0,0,0,,79
Axle.001,MESH,Unsorted / Needs Review,True,False,False,False,1,Large Trash Can,Mesh.010,1,302,320,Large Trash Can,0
Bolt,MESH,Unsorted / Needs Review,True,False,False,False,1,No Parking Sign Board,Bolt,1,293,304,Plane.023,0
Bolt.001,MESH,Unsorted / Needs Review,True,False,False,False,1,No Parking Sign Board,Bolt.001,1,586,608,Plane.023,0
Bolt.002,MESH,Unsorted / Needs Review,True,False,False,False,1,Audi e-tron GT quattro Black,Bolt.002,1,5440,5688,Audi e-tron GT quattro Black,0
CAM_ANIM_Close,CAMERA,Cameras,False,True,True,False,1,Scene Collection,CAM_ANIM_Close_Data,1,0,0,,0
CAM_ANIM_Medium,CAMERA,Cameras,False,True,True,False,1,Scene Collection,CAM_ANIM_Medium_Data,1,0,0,,0
CAM_ANIM_Wide,CAMERA,Cameras,False,True,True,False,1,Scene Collection,CAM_ANIM_Wide_Data,1,0,0,,0
CAM_F2_Front,CAMERA,Cameras,True,False,False,False,1,Scene Collection,CAM_F2_Front_Data,1,0,0,,0
CAM_F2_Profile,CAMERA,Cameras,True,False,False,False,1,Scene Collection,CAM_F2_Profile_Data,1,0,0,,0
CAM_F2_ThreeQuarter,CAMERA,Cameras,True,False,False,False,1,Scene Collection,CAM_F2_ThreeQuarter_Data,1,0,0,,0
CAM_Hood_Front,CAMERA,Cameras,False,False,False,False,1,Scene Collection,CAM_Hood_Front_Data,1,0,0,,0
CAM_Hood_LeftSide,CAMERA,Cameras,False,False,False,False,1,Scene Collection,CAM_Hood_LeftSide_Data,1,0,0,,0
CAM_Hood_RightSide,CAMERA,Cameras,False,False,False,False,1,Scene Collection,CAM_Hood_RightSide_Data,1,0,0,,0
CAM_Hood_Top,CAMERA,Cameras,False,False,False,False,1,Scene Collection,CAM_Hood_Top_Data,1,0,0,,0
CAM_SceneWide,CAMERA,Cameras,True,False,False,False,1,Scene Collection,CAM_SceneWide_Data,1,0,0,,0
CAM_StorefrontReflection,CAMERA,Cameras,True,False,False,False,1,Scene Collection,CAM_StorefrontReflection_Data,1,0,0,,0
CAM_Target,EMPTY,Cameras,False,False,False,False,1,CAM_Rigs,,0,0,0,,0
Can.001,MESH,Unsorted / Needs Review,True,False,False,False,1,Large Trash Can,Mesh.014,1,11142,12327,Large Trash Can,0
Cargo pants,MESH,Clothing,True,False,False,False,2,OPTIMIZATION_PREVIEW_DECIMATE_TARGETS; WARDROBE_IMPORTED,Cargo pants,1,16507,16424,,0
Cast iron sewer hatch,EMPTY,Unsorted / Needs Review,True,False,False,False,2,Cast iron sewer hatch; ENV_PARKING,,0,0,0,,1
Circle,MESH,Unsorted / Needs Review,True,False,False,False,1,Audi e-tron GT quattro Black,Circle.001,1,161,156,Audi e-tron GT quattro Black,0
