name,type,category_guess,visible_viewport,hide_viewport_flag,hide_render_flag,hide_select_flag,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
Asphalt ground,MESH,Environment / Props,True,False,False,False,2,Asphalt ground; ENV_PARKING,remeshed_object,1,16441,16154,,0
Cargo pants,MESH,Clothing,True,False,False,False,2,OPTIMIZATION_PREVIEW_DECIMATE_TARGETS; WARDROBE_IMPORTED,Cargo pants,1,16507,16424,,0
Cast iron sewer hatch,EMPTY,Unsorted / Needs Review,True,False,False,False,2,Cast iron sewer hatch; ENV_PARKING,,0,0,0,,1
F2,MESH,Character / Duplicates,True,False,False,False,2,CHAR_F2; CHAR_Meshy_LeftCandidate_Refined,Meshy_Left_Standing_Candidate.006,2,33625,63717,,0
F2.001,MESH,Character / Duplicates,False,True,True,False,2,CHAR_F2; CHAR_Meshy_LeftCandidate_Refined,Meshy_Left_Standing_Candidate.006,2,33625,63717,,0
FX_TrafficLight_Green,LIGHT,Lighting / Reflections,False,False,False,False,2,FX_REFLECTION_TRAFFIC; WINDOW_REFLECTION_SPOTLIGHTS_FAR_END,FX_TrafficLight_Green_Data,1,0,0,,0
FX_TrafficLight_Red,LIGHT,Lighting / Reflections,False,False,False,False,2,FX_REFLECTION_TRAFFIC; WINDOW_REFLECTION_SPOTLIGHTS_FAR_END,FX_TrafficLight_Red_Data,1,0,0,,0
FX_TrafficLight_Yellow,LIGHT,Lighting / Reflections,False,False,False,False,2,FX_REFLECTION_TRAFFIC; WINDOW_REFLECTION_SPOTLIGHTS_FAR_END,FX_TrafficLight_Yellow_Data,1,0,0,,0
HERO_CarAmberHoodRead,LIGHT,Lighting / Reflections,True,False,False,False,2,ENV_LIGHTING_APPROVED; HERO_CAR_AMBER_READ,HERO_CarAmberHoodRead_Data,1,0,0,,0
HERO_CarAmberRoofRead,LIGHT,Lighting / Reflections,True,False,False,False,2,ENV_LIGHTING_APPROVED; HERO_CAR_AMBER_READ,HERO_CarAmberRoofRead_Data,1,0,0,,0
HERO_CarWarmSideGlint,LIGHT,Lighting / Reflections,True,False,False,False,2,ENV_LIGHTING_APPROVED; HERO_CAR_AMBER_READ,HERO_CarWarmSideGlint_Data,1,0,0,,0
HERO_CyanUnderglow_Area,LIGHT,Lighting / Reflections,True,False,False,False,2,ENV_LIGHTING_APPROVED; HERO_CAR_UNDERGLOW,HERO_CyanUnderglow_Area_Data,1,0,0,,0
HERO_HParking_CenterSpine,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.222,1,8,6,,0
