kind,name,filepath,absolute_path,exists,packed,source
IMAGE,177d920ddde57c74f8e1ef18863ab511.jpg,//assets\models\no-parking-sign-_a3485c33-d9d3-4ee4-b83a-ef3d263f26de\textures_2k\177d920ddde57c74f8e1ef18863ab511.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\no-parking-sign-_a3485c33-d9d3-4ee4-b83a-ef3d263f26de\textures_2k\177d920ddde57c74f8e1ef18863ab511.jpg,False,True,FILE
IMAGE,black rubber_BaseColor.jpg,//assets\materials\black-rubber_c0f1ba6b-4188-48e9-85f1-628be2f0d5c1\textures_2k\black rubber_BaseColor.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\black-rubber_c0f1ba6b-4188-48e9-85f1-628be2f0d5c1\textures_2k\black rubber_BaseColor.jpg,False,True,FILE
IMAGE,black rubber_Displacement.jpg,//assets\materials\black-rubber_c0f1ba6b-4188-48e9-85f1-628be2f0d5c1\textures_2k\black rubber_Displacement.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\black-rubber_c0f1ba6b-4188-48e9-85f1-628be2f0d5c1\textures_2k\black rubber_Displacement.jpg,False,True,FILE
IMAGE,black rubber_Normal.jpg,//assets\materials\black-rubber_c0f1ba6b-4188-48e9-85f1-628be2f0d5c1\textures_2k\black rubber_Normal.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\black-rubber_c0f1ba6b-4188-48e9-85f1-628be2f0d5c1\textures_2k\black rubber_Normal.jpg,False,True,FILE
IMAGE,black rubber_Roughness.jpg,//assets\materials\black-rubber_c0f1ba6b-4188-48e9-85f1-628be2f0d5c1\textures_2k\black rubber_Roughness.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\black-rubber_c0f1ba6b-4188-48e9-85f1-628be2f0d5c1\textures_2k\black rubber_Roughness.jpg,False,True,FILE
IMAGE,Black_Jeans_Fabric_AmbientOcclusion.jpg,//assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_AmbientOcclusion.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_AmbientOcclusion.jpg,False,True,FILE
IMAGE,Black_Jeans_Fabric_BaseColor.jpg,//assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_BaseColor.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_BaseColor.jpg,False,True,FILE
IMAGE,Black_Jeans_Fabric_Metallic.jpg,//assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_Metallic.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_Metallic.jpg,False,True,FILE
IMAGE,Black_Jeans_Fabric_Normal.jpg,//assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_Normal.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_Normal.jpg,False,True,FILE
IMAGE,Black_Jeans_Fabric_Roughness.jpg,//assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_Roughness.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_Roughness.jpg,False,True,FILE
IMAGE,Black_Jeans_Fabric_Specular.jpg,//assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_Specular.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\black-denim-jean_4a7a6306-30a8-4ec5-88e9-6b1cfaf59bd6\textures_2k\Black_Jeans_Fabric_Specular.jpg,False,True,FILE
IMAGE,bronze_basecolor.jpg.001,//assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\bronze_basecolor.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\bronze_basecolor.jpg,False,True,FILE
IMAGE,bronze_height.jpg.001,//assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\bronze_height.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\bronze_height.jpg,False,True,FILE
IMAGE,bronze_normal.jpg.001,//assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\bronze_normal.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\bronze_normal.jpg,False,True,FILE
IMAGE,bronze_roughness.jpg.001,//assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\bronze_roughness.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\bronze_roughness.jpg,False,True,FILE
IMAGE,bump_reticular_05k.jpg,//assets\materials\cloth-brown_58c87daa-a820-481f-9326-78335237efa2\textures_1k\bump_reticular_05k.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\cloth-brown_58c87daa-a820-481f-9326-78335237efa2\textures_1k\bump_reticular_05k.jpg,False,True,FILE
IMAGE,bump_reticular_05k.jpg.001,//assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\bump_reticular_05k.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\bump_reticular_05k.jpg,False,True,FILE
IMAGE,bump_reticular_05k.jpg.002,//assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\bump_reticular_05k.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\bump_reticular_05k.jpg,False,True,FILE
IMAGE,bump_reticular_05k.jpg.003,//assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\bump_reticular_05k.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\bump_reticular_05k.jpg,False,True,FILE
