name,users,use_nodes,node_count,diffuse_color,surface_render_method,blend_method,has_emission_node,has_volume_node
Black Denim Jeans Fabric,2,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Black rubber,1,True,13,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Bolts,2,True,7,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Brake2,1,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Can.001,2,True,7,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Can.002,4,True,7,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Car paint,4,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Black,9,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Black.001,1,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Black.002,1,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Black.003,1,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Black.004,4,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Cloth Brown,2,True,14,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
Dirt Ground Material,1,True,13,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,False,False
FX_MAT_CyclesReflect_Green,2,True,2,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0]",DITHERED,HASHED,True,False
