object,category,mesh,data_users,vertices,edges,polygons,boundary_edges,nonmanifold_edges,shape_key_count,active_shape_key,shape_keys,vertex_group_count,armature_modifier_count,parent,materials,hide_viewport,hide_render
177d920ddde57c74f8e1ef18863ab511,OTHER,177d920ddde57c74f8e1ef18863ab511,1,874,1744,872,0,0,0,,,0,0,Plane.023,no parking_board | no parking_Rusty painted metal,False,False
177d920ddde57c74f8e1ef18863ab511.001,OTHER,177d920ddde57c74f8e1ef18863ab511.001,1,8,12,6,0,0,0,,,0,0,177d920ddde57c74f8e1ef18863ab511,no parking_Procedural Metal 01,False,False
Asphalt ground,ENVIRONMENT_EFFECT,remeshed_object,1,16441,32594,16154,572,572,0,,,0,0,,main.001,False,False
Axle.001,OTHER,Mesh.010,1,302,620,320,0,0,0,,,0,0,Large Trash Can,Can.001,False,False
Bolt,ENVIRONMENT_EFFECT,Bolt,1,293,596,304,40,40,0,,,0,0,Plane.023,no parking_Procedural Metal 01,False,False
Bolt.001,ENVIRONMENT_EFFECT,Bolt.001,1,586,1192,608,80,80,0,,,0,0,Plane.023,no parking_Procedural Metal 01,False,False
Bolt.002,ENVIRONMENT_EFFECT,Bolt.002,1,5440,11100,5688,1128,1128,0,,,0,0,Audi e-tron GT quattro Black,Bolts,False,False
Can.001,OTHER,Mesh.014,1,11142,23471,12327,0,0,0,,,0,0,Large Trash Can,Can.002,False,False
Cargo pants,CLOTHING,Cargo pants,1,16507,32932,16424,356,540,0,,,0,0,,Black Denim Jeans Fabric,False,False
Circle,OTHER,Circle.001,1,161,316,156,8,8,0,,,0,0,Audi e-tron GT quattro Black,Plastic.001 | Material.005,False,False
Circle.001,OTHER,Circle.002,1,1402,2688,1280,256,256,0,,,0,0,Audi e-tron GT quattro Black,Car paint | Material | Plastic,False,False
Circle.002,OTHER,Circle.006,1,4324,8594,4282,80,80,0,,,0,0,Audi e-tron GT quattro Black,Material.003,False,False
Circle.003,OTHER,Circle.007,1,24792,46496,20464,4464,9960,0,,,0,0,Audi e-tron GT quattro Black,Metal,False,False
Circle.006,OTHER,Circle.014,1,1408,2688,1280,256,256,0,,,0,0,Audi e-tron GT quattro Black,Material,False,False
Circle.007,OTHER,Circle.013,1,690,1312,624,128,128,0,,,0,0,Audi e-tron GT quattro Black,Car paint | Material | Plastic,False,False
Circle.009,OTHER,Circle.016,1,23528,47876,24192,140,240,0,,,0,0,Audi e-tron GT quattro Black,Rims,False,False
Circle.011,OTHER,Circle.018,1,5632,10752,5120,1024,1024,0,,,0,0,Audi e-tron GT quattro Black,Material,False,False
Cube,ENVIRONMENT_EFFECT,Cube,1,8,12,6,0,0,0,,,0,0,,,False,True
Cylinder.001,OTHER,Cylinder.002,1,60,110,51,10,10,0,,,0,0,Plane.023,no parking_Procedural Metal 01,False,False
F2,CHARACTER,Meshy_Left_Standing_Candidate.006,1,33624,97337,63715,0,0,2,Key 1,Basis | Key 1,0,0,,Cloth Brown | Material.020,False,False
FX_ReflectCard_Green_01,ENVIRONMENT_EFFECT,FX_ReflectCard_Green_01_Mesh.001,1,33,33,1,33,33,0,,,0,0,,FX_MAT_CyclesReflect_Green,False,False
FX_ReflectCard_Green_02,ENVIRONMENT_EFFECT,FX_ReflectCard_Green_02_Mesh.001,1,33,33,1,33,33,0,,,0,0,,FX_MAT_CyclesReflect_Green,False,False
FX_ReflectCard_Red_01,ENVIRONMENT_EFFECT,FX_ReflectCard_Red_01_Mesh.001,1,33,33,1,33,33,0,,,0,0,,FX_MAT_CyclesReflect_Red,False,False
FX_ReflectCard_Red_02,ENVIRONMENT_EFFECT,FX_ReflectCard_Red_02_Mesh.001,1,33,33,1,33,33,0,,,0,0,,FX_MAT_CyclesReflect_Red,False,False
FX_ReflectCard_Yellow_01,ENVIRONMENT_EFFECT,FX_ReflectCard_Yellow_01_Mesh.001,1,33,33,1,33,33,0,,,0,0,,FX_MAT_CyclesReflect_Yellow,False,False
FX_ReflectCard_Yellow_02,ENVIRONMENT_EFFECT,FX_ReflectCard_Yellow_02_Mesh.001,1,33,33,1,33,33,0,,,0,0,,FX_MAT_CyclesReflect_Yellow,False,False
Handlebars.001,CHARACTER,Mesh.015,1,4352,9143,4791,0,0,0,,,0,0,Large Trash Can,Can.002,False,False
HERO_Curb_VerticalFace,CHARACTER,Cube.196,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_SidewalkConcrete,False,False
HERO_DoubleDoor_CenterMeet_1,ENVIRONMENT_EFFECT,Cube.175,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_DoubleDoor_CenterMeet_2,ENVIRONMENT_EFFECT,Cube.183,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_DoubleDoor_LeftSide_1,ENVIRONMENT_EFFECT,Cube.174,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_DoubleDoor_LeftSide_2,ENVIRONMENT_EFFECT,Cube.182,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_DoubleDoor_RightSide_1,ENVIRONMENT_EFFECT,Cube.176,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_DoubleDoor_RightSide_2,ENVIRONMENT_EFFECT,Cube.184,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_DoubleDoor_TopFrame_1,ENVIRONMENT_EFFECT,Cube.177,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_DoubleDoor_TopFrame_2,ENVIRONMENT_EFFECT,Cube.185,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_GlassStorefront_Bay_0,ENVIRONMENT_EFFECT,Cube.112,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_Glass_NightGlossy,False,False
HERO_GlassStorefront_Bay_1,ENVIRONMENT_EFFECT,Cube.170,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_Glass_NightGlossy,False,False
HERO_GlassStorefront_Bay_2,ENVIRONMENT_EFFECT,Cube.178,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_Glass_NightGlossy,False,False
HERO_GlassStorefront_Bay_3,ENVIRONMENT_EFFECT,Cube.186,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_Glass_NightGlossy,False,False
HERO_HParking_CenterSpine,ENVIRONMENT_EFFECT,Cube.222,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row0_Divider_0,ENVIRONMENT_EFFECT,Cube.206,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row0_Divider_1,ENVIRONMENT_EFFECT,Cube.207,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row0_Divider_2,ENVIRONMENT_EFFECT,Cube.208,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row0_Divider_3,ENVIRONMENT_EFFECT,Cube.209,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row0_Divider_4,ENVIRONMENT_EFFECT,Cube.210,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row0_Divider_5,ENVIRONMENT_EFFECT,Cube.211,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row0_Divider_6,ENVIRONMENT_EFFECT,Cube.212,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row0_Divider_7,ENVIRONMENT_EFFECT,Cube.213,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row1_Divider_0,ENVIRONMENT_EFFECT,Cube.214,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
