object,category,modifier,type,show_viewport,show_render,target_object,vertex_group,use_deform_preserve_volume
177d920ddde57c74f8e1ef18863ab511,OTHER,Subdivision,SUBSURF,True,True,,,
177d920ddde57c74f8e1ef18863ab511,OTHER,PARKING_TO_ASPHALT_PREVIEW,SHRINKWRAP,True,True,,,
177d920ddde57c74f8e1ef18863ab511.001,OTHER,Bevel,BEVEL,True,True,,,
177d920ddde57c74f8e1ef18863ab511.001,OTHER,WeightedNormal,WEIGHTED_NORMAL,True,True,,,
177d920ddde57c74f8e1ef18863ab511.001,OTHER,PARKING_TO_ASPHALT_PREVIEW,SHRINKWRAP,True,True,,,
Bolt,ENVIRONMENT_EFFECT,Mirror,MIRROR,True,True,,,
Bolt,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
Bolt,ENVIRONMENT_EFFECT,WeightedNormal,WEIGHTED_NORMAL,True,True,,,
Bolt,ENVIRONMENT_EFFECT,PARKING_TO_ASPHALT_PREVIEW,SHRINKWRAP,True,True,,,
Bolt.001,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
Bolt.001,ENVIRONMENT_EFFECT,WeightedNormal,WEIGHTED_NORMAL,True,True,,,
Bolt.001,ENVIRONMENT_EFFECT,PARKING_TO_ASPHALT_PREVIEW,SHRINKWRAP,True,True,,,
Cargo pants,CLOTHING,Collision,COLLISION,True,True,,,
Circle,OTHER,Subdivision,SUBSURF,True,True,,,
Circle.001,OTHER,Subdivision,SUBSURF,True,True,,,
Circle.001,OTHER,WeightedNormal,WEIGHTED_NORMAL,True,True,,,
Circle.002,OTHER,Subdivision,SUBSURF,True,True,,,
Circle.003,OTHER,Smooth by Angle,NODES,True,True,,,
Circle.006,OTHER,Subdivision,SUBSURF,True,True,,,
Circle.006,OTHER,WeightedNormal,WEIGHTED_NORMAL,True,True,,,
Circle.007,OTHER,WeightedNormal,WEIGHTED_NORMAL,True,True,,,
Circle.009,OTHER,Subdivision,SUBSURF,True,True,,,
Circle.011,OTHER,Subdivision,SUBSURF,True,True,,,
Cylinder.001,OTHER,Subdivision,SUBSURF,True,True,,,
Cylinder.001,OTHER,WeightedNormal,WEIGHTED_NORMAL,True,True,,,
Cylinder.001,OTHER,PARKING_TO_ASPHALT_PREVIEW,SHRINKWRAP,True,True,,,
HERO_Curb_VerticalFace,CHARACTER,Bevel,BEVEL,True,True,,,
