edge_a,edge_b,mid_x,mid_y,mid_z,length
40479,40480,-0.477115,0.127256,1.531951,0.006949
40481,40482,-0.477969,0.127476,1.542189,0.004364
40480,40481,-0.477669,0.128784,1.538659,0.006862
40482,40483,-0.477973,0.123121,1.542625,0.004394
40479,69691,-0.477115,0.127256,1.531951,0.006949
63648,64227,-0.481921,0.130361,1.542106,0.00046
64227,64807,-0.481648,0.130722,1.542218,0.000483
64807,65387,-0.481263,0.131014,1.54231,0.00051
65387,65967,-0.480791,0.131215,1.542379,0.000532
65967,66547,-0.480265,0.131313,1.542417,0.000546
66547,67127,-0.479721,0.131301,1.542424,0.000548
67127,67707,-0.479196,0.131178,1.542398,0.000538
67707,68287,-0.478726,0.130955,1.542341,0.000517
68287,68866,-0.478342,0.130646,1.542258,0.000491
68866,69445,-0.478071,0.130272,1.542153,0.000466
40481,69445,-0.477932,0.129859,1.542034,0.00045
40481,69691,-0.477669,0.128784,1.538659,0.006862
63648,64228,-0.481921,0.130361,1.542106,0.00046
64228,64808,-0.481648,0.130722,1.542218,0.000483
64808,65388,-0.481263,0.131014,1.54231,0.00051
65388,65968,-0.480791,0.131215,1.542379,0.000532
65968,66548,-0.480265,0.131313,1.542417,0.000546
66548,67128,-0.479721,0.131301,1.542424,0.000548
67128,67708,-0.479196,0.131178,1.542398,0.000538
67708,68288,-0.478726,0.130955,1.542341,0.000517
68288,68867,-0.478342,0.130646,1.542258,0.000491
68867,69446,-0.478071,0.130272,1.542153,0.000466
69446,69692,-0.477932,0.129859,1.542034,0.00045
69692,69693,-0.477969,0.127476,1.542189,0.004364
40483,69693,-0.477973,0.123121,1.542625,0.004394
69746,69747,-0.477784,0.209664,1.541671,0.0038
69747,69748,-0.478186,0.204928,1.54174,0.00578
69736,69737,-0.498744,0.310902,1.551745,0.012993
69734,69735,-0.498456,0.334997,1.560338,0.012021
69751,69752,-0.485216,0.180127,1.540165,0.017419
69749,69750,-0.488442,0.195064,1.540506,0.007212
69753,69754,-0.481668,0.150514,1.54105,0.014117
69755,69756,-0.481871,0.128774,1.538597,0.006873
69744,69745,-0.489655,0.236771,1.543554,0.026071
69735,69736,-0.498942,0.323357,1.555624,0.013142
69748,69749,-0.48489,0.199378,1.541277,0.014545
69754,69755,-0.482291,0.136599,1.541596,0.013834
69752,69753,-0.483638,0.164512,1.540451,0.015068
69743,69744,-0.491534,0.248207,1.543932,0.022844
69740,69741,-0.501797,0.269175,1.544577,0.007781
69745,69746,-0.488136,0.219594,1.542073,0.02699
69737,69738,-0.495922,0.296073,1.548755,0.018017
69733,69734,-0.498017,0.345418,1.565568,0.011333
69738,69739,-0.490973,0.283001,1.547906,0.010332
69741,69742,-0.491851,0.261457,1.544621,0.021143
69742,69743,-0.492384,0.254041,1.544377,0.021884
69739,69740,-0.495233,0.27573,1.546898,0.014854
69750,69751,-0.484627,0.191081,1.540247,0.004821
