edge_a,edge_b,mid_x,mid_y,mid_z,length
70021,70022,0.65703,0.174238,1.526722,0.017598
70032,70033,0.679617,0.275436,1.53736,0.009827
70019,70020,0.660759,0.146636,1.525404,0.015004
70026,70027,0.666043,0.220058,1.529368,0.024879
70029,70030,0.668457,0.246608,1.533074,0.022437
70034,70035,0.672332,0.295406,1.54081,0.009136
70033,70034,0.675908,0.285615,1.539014,0.012861
70025,70026,0.664154,0.211361,1.528543,0.017082
70030,70031,0.670526,0.255525,1.53481,0.022705
70020,70021,0.661262,0.16031,1.525651,0.012406
70031,70032,0.670732,0.266469,1.536439,0.020121
70027,70028,0.666692,0.232667,1.53076,0.022311
70024,70025,0.670946,0.203607,1.527487,0.012641
70023,70024,0.662425,0.194409,1.527481,0.015241
70022,70023,0.654187,0.186646,1.52769,0.009703
70028,70029,0.657273,0.241334,1.532583,0.006343
95977,95978,0.653332,0.173828,1.525982,0.016569
95988,95989,0.676308,0.275241,1.537985,0.007164
95975,95976,0.656709,0.146728,1.525821,0.015739
95982,95983,0.66248,0.219893,1.530017,0.02355
95985,95986,0.665738,0.24928,1.533595,0.021085
95990,95991,0.668254,0.294725,1.540913,0.010004
95989,95990,0.671946,0.284315,1.538988,0.013328
95981,95982,0.661068,0.210427,1.528998,0.019543
95974,95975,0.656725,0.130069,1.525823,0.017688
95986,95987,0.666956,0.25661,1.534747,0.021843
95976,95977,0.657299,0.160559,1.525591,0.011991
95991,95992,0.670067,0.304699,1.54385,0.0115
95987,95988,0.667445,0.267082,1.536686,0.021617
95983,95984,0.663107,0.230963,1.531215,0.022397
95980,95981,0.668297,0.203453,1.527832,0.007142
95979,95980,0.659604,0.197286,1.527781,0.015248
95978,95979,0.65103,0.187673,1.527352,0.013581
95984,95985,0.654348,0.242063,1.532942,0.011531
95974,127934,0.656725,0.130069,1.525823,0.017688
70019,121631,0.660759,0.146636,1.525404,0.015004
127934,127935,0.656709,0.146728,1.525821,0.015739
121631,121632,0.661262,0.16031,1.525651,0.012406
127935,127936,0.657299,0.160559,1.525591,0.011991
121632,121633,0.65703,0.174238,1.526722,0.017598
127936,127937,0.653332,0.173828,1.525982,0.016569
121633,121634,0.654187,0.186646,1.52769,0.009703
127937,127938,0.65103,0.187673,1.527352,0.013581
121634,121635,0.662425,0.194409,1.527481,0.015241
121635,122001,0.669398,0.197469,1.527219,0.000224
122001,122571,0.669376,0.197463,1.527434,0.000232
122571,123140,0.66925,0.197548,1.527642,0.000295
123140,123709,0.66903,0.197716,1.527826,0.000377
123709,124278,0.66873,0.197957,1.527975,0.000452
124278,124847,0.66837,0.198255,1.528079,0.000506
124847,125416,0.667976,0.198588,1.528129,0.000533
125416,125985,0.667574,0.198935,1.528124,0.00053
125985,126554,0.667192,0.199271,1.528064,0.000497
126554,127122,0.666855,0.199574,1.527951,0.000439
127122,127692,0.666586,0.199823,1.527795,0.000361
127692,127939,0.666529,0.200133,1.527608,0.000463
127938,127939,0.659604,0.197286,1.527781,0.015248
121636,122002,0.669398,0.197469,1.527219,0.000224
121636,121637,0.670946,0.203607,1.527487,0.012641
122002,122572,0.669376,0.197463,1.527434,0.000232
122572,123141,0.66925,0.197548,1.527642,0.000295
123141,123710,0.66903,0.197716,1.527826,0.000377
123710,124279,0.66873,0.197957,1.527975,0.000452
124279,124848,0.66837,0.198255,1.528079,0.000506
124848,125417,0.667976,0.198588,1.528129,0.000533
125417,125986,0.667574,0.198935,1.528124,0.00053
125986,126555,0.667192,0.199271,1.528064,0.000497
126555,127123,0.666855,0.199574,1.527951,0.000439
127123,127693,0.666586,0.199823,1.527795,0.000361
127693,127940,0.666529,0.200133,1.527608,0.000463
127940,127941,0.668297,0.203453,1.527832,0.007142
121637,121638,0.664154,0.211361,1.528543,0.017082
121638,122004,0.655843,0.212945,1.529314,0.00023
122004,122574,0.655869,0.212826,1.529495,0.000225
122574,123143,0.655771,0.212698,1.529672,0.000267
123143,123712,0.655558,0.21257,1.529832,0.000332
123712,124281,0.655242,0.21245,1.529964,0.000396
124281,124850,0.654847,0.212348,1.530059,0.000445
124850,125419,0.654399,0.212269,1.530111,0.000473
125419,125988,0.653928,0.212219,1.530115,0.000476
125988,126557,0.653467,0.212202,1.530073,0.000453
126557,127125,0.653046,0.212218,1.529986,0.000408
127125,127695,0.652696,0.212267,1.52986,0.000347
127695,127942,0.652335,0.213291,1.529816,0.002026
127941,127942,0.661068,0.210427,1.528998,0.019543
121639,122005,0.655843,0.212945,1.529314,0.00023
121639,121640,0.666043,0.220058,1.529368,0.024879
122005,122575,0.655869,0.212826,1.529495,0.000225
122575,123144,0.655771,0.212698,1.529672,0.000267
123144,123713,0.655558,0.21257,1.529832,0.000332
123713,124282,0.655242,0.21245,1.529964,0.000396
124282,124851,0.654847,0.212348,1.530059,0.000445
124851,125420,0.654399,0.212269,1.530111,0.000473
125420,125989,0.653928,0.212219,1.530115,0.000476
125989,126558,0.653467,0.212202,1.530073,0.000453
126558,127126,0.653046,0.212218,1.529986,0.000408
127126,127696,0.652696,0.212267,1.52986,0.000347
127696,127943,0.652335,0.213291,1.529816,0.002026
127943,127944,0.66248,0.219893,1.530017,0.02355
121640,121641,0.666692,0.232667,1.53076,0.022311
127944,127945,0.663107,0.230963,1.531215,0.022397
121641,121642,0.657273,0.241334,1.532583,0.006343
127945,127946,0.654348,0.242063,1.532942,0.011531
121642,121643,0.668457,0.246608,1.533074,0.022437
127946,127947,0.665738,0.24928,1.533595,0.021085
121643,121644,0.670526,0.255525,1.53481,0.022705
127947,127948,0.666956,0.25661,1.534747,0.021843
121644,121645,0.670732,0.266469,1.536439,0.020121
121645,122011,0.679985,0.270524,1.536329,0.000381
122011,122581,0.680141,0.270277,1.536506,0.000312
122581,123150,0.680177,0.27008,1.536704,0.000266
123150,123719,0.68009,0.269945,1.536908,0.000272
123719,124288,0.679886,0.269883,1.537105,0.000323
124288,124857,0.679578,0.269897,1.537282,0.000394
124857,125426,0.679188,0.269986,1.537425,0.000461
125426,125995,0.678742,0.270144,1.537526,0.00051
125995,126564,0.67827,0.27036,1.537577,0.000535
126564,127132,0.677805,0.270621,1.537576,0.000533
127132,127702,0.677379,0.270907,1.537521,0.000503
127702,127949,0.67716,0.271428,1.537453,0.000751
127948,127949,0.667445,0.267082,1.536686,0.021617
121646,122012,0.679985,0.270524,1.536329,0.000381
121646,121647,0.679617,0.275436,1.53736,0.009827
122012,122582,0.680141,0.270277,1.536506,0.000312
122582,123151,0.680177,0.27008,1.536704,0.000266
123151,123720,0.68009,0.269945,1.536908,0.000272
123720,124289,0.679886,0.269883,1.537105,0.000323
124289,124858,0.679578,0.269897,1.537282,0.000394
124858,125427,0.679188,0.269986,1.537425,0.000461
125427,125996,0.678742,0.270144,1.537526,0.00051
125996,126565,0.67827,0.27036,1.537577,0.000535
126565,127133,0.677805,0.270621,1.537576,0.000533
127133,127703,0.677379,0.270907,1.537521,0.000503
127703,127950,0.67716,0.271428,1.537453,0.000751
127950,127951,0.676308,0.275241,1.537985,0.007164
121647,121648,0.675908,0.285615,1.539014,0.012861
121648,122014,0.672437,0.290901,1.539654,0.000305
122014,122584,0.672324,0.290661,1.539841,0.000357
125998,126567,0.669297,0.289497,1.540054,0.000453
126567,127135,0.668911,0.289546,1.539902,0.000387
127135,127705,0.66863,0.289657,1.539723,0.000326
127705,127952,0.668468,0.289839,1.53953,0.000312
127951,127952,0.671946,0.284315,1.538988,0.013328
121649,122015,0.672437,0.290901,1.539654,0.000305
70035,121649,0.672332,0.295406,1.54081,0.009136
122015,122584,0.672324,0.290661,1.539841,0.000357
125998,126568,0.669297,0.289497,1.540054,0.000453
126568,127136,0.668911,0.289546,1.539902,0.000387
127136,127706,0.66863,0.289657,1.539723,0.000326
127706,127953,0.668468,0.289839,1.53953,0.000312
127953,127954,0.668254,0.294725,1.540913,0.010004
95992,127954,0.670067,0.304699,1.54385,0.0115
128260,128261,0.670788,0.266887,1.536367,0.02113
128249,128250,0.66135,0.160683,1.525696,0.012547
128263,128264,0.672291,0.294765,1.540915,0.009567
128256,128257,0.666817,0.232229,1.531111,0.023197
128259,128260,0.670232,0.255739,1.534366,0.02337
128257,128258,0.657211,0.241345,1.532774,0.006292
128261,128262,0.679543,0.27513,1.538123,0.008894
128248,128249,0.660826,0.146738,1.52559,0.0154
128250,128251,0.657154,0.174241,1.526221,0.016729
128251,128252,0.654141,0.186662,1.52706,0.010511
128253,128254,0.67111,0.203487,1.52817,0.010301
128252,128253,0.662549,0.195156,1.527505,0.016148
128258,128259,0.66843,0.246547,1.53309,0.02236
128255,128256,0.666141,0.219321,1.52969,0.025167
128262,128263,0.675475,0.284725,1.539489,0.012445
128254,128255,0.663977,0.210437,1.52914,0.017187
143486,143487,0.669991,0.305127,1.543788,0.011479
143482,143483,0.667388,0.266664,1.536759,0.020643
143471,143472,0.657211,0.160185,1.525547,0.011826
143199,143200,0.658586,0.130359,1.53469,0.008505
143485,143486,0.668294,0.295366,1.540808,0.009594
143478,143479,0.662982,0.231401,1.530864,0.021531
143200,143201,0.659231,0.12805,1.538051,0.012232
143464,143465,0.659226,0.128089,1.538064,0.012068
143481,143482,0.66725,0.256396,1.53519,0.021206
143479,143480,0.65441,0.242052,1.53275,0.011566
143483,143484,0.676381,0.275547,1.537221,0.008125
143470,143471,0.656642,0.146626,1.525636,0.015345
143469,143470,0.656844,0.130182,1.525984,0.017684
143472,143473,0.653209,0.173825,1.526484,0.017454
143473,143474,0.651076,0.187657,1.527982,0.012778
143475,143476,0.668133,0.203573,1.527149,0.009457
143465,143466,0.658581,0.130356,1.534665,0.008386
143474,143475,0.659481,0.196539,1.527758,0.014399
143480,143481,0.665765,0.249341,1.533579,0.021157
143477,143478,0.662382,0.22063,1.529695,0.023217
143484,143485,0.672379,0.285204,1.538514,0.013776
143476,143477,0.661245,0.211351,1.528401,0.019343
143199,163129,0.658586,0.130359,1.53469,0.008505
143201,163129,0.659231,0.12805,1.538051,0.012232
143464,163130,0.659226,0.128089,1.538064,0.012068
143466,163130,0.658581,0.130356,1.534665,0.008386
143469,163131,0.656844,0.130182,1.525984,0.017684
128248,158403,0.660826,0.146738,1.52559,0.0154
158720,159148,0.661346,0.154415,1.525363,0.000271
159148,159577,0.661107,0.154423,1.525169,0.000354
