rank,vertex_count,center_x,center_y,center_z,nearest_zone,nearest_zone_distance
1,298,-0.48436,0.205137,1.543039,left_armpit,0.286351
2,34,0.65459,0.172272,1.526489,right_armpit,0.281668
3,6,0.672701,0.292178,1.539963,right_armpit,0.335931
4,5,0.667365,0.199656,1.527377,right_armpit,0.28398
5,3,-0.465709,0.075192,1.303097,left_armpit,0.391113
6,2,-0.469783,0.068895,1.270545,left_armpit,0.413658
7,2,-0.502255,-0.04799,1.595615,left_armpit,0.236558
8,2,-0.465039,0.077488,1.313745,left_armpit,0.383661
9,2,-0.484065,0.109516,1.342369,left_armpit,0.353727
10,2,-0.478801,0.039157,1.558121,left_armpit,0.242936
11,2,-0.526651,-0.088437,1.620682,left_armpit,0.23649
12,2,0.89882,-0.002824,1.752825,right_armpit,0.160503
